trigger,offset,target,stop,time_limit,trades,win_rate,total_pnl,avg_pnl,sharpe
現貨開盤,5,10,5,5,61,0.0,-5490,-90.0,0.0
現貨開盤,5,10,5,10,61,0.0,-5490,-90.0,0.0
現貨開盤,5,10,5,15,61,0.0,-5490,-90.0,0.0
現貨開盤,5,10,5,30,61,0.0,-5490,-90.0,0.0
現貨開盤,5,10,5,60,61,0.0,-5490,-90.0,0.0
現貨開盤,5,10,10,5,61,34.4,-4340,-71.0,-11.79
現貨開盤,5,10,10,10,61,34.4,-4340,-71.0,-11.79
現貨開盤,5,10,10,15,61,34.4,-4340,-71.0,-11.79
現貨開盤,5,10,10,30,61,34.4,-4340,-71.0,-11.79
現貨開盤,5,10,10,60,61,34.4,-4340,-71.0,-11.79
現貨開盤,5,10,15,5,61,50.8,-3840,-63.0,-7.93
現貨開盤,5,10,15,10,61,50.8,-3840,-63.0,-7.93
現貨開盤,5,10,15,15,61,50.8,-3840,-63.0,-7.93
現貨開盤,5,10,15,30,61,50.8,-3840,-63.0,-7.93
現貨開盤,5,10,15,60,61,50.8,-3840,-63.0,-7.93
現貨開盤,5,10,20,5,61,57.4,-4140,-68.0,-7.2
現貨開盤,5,10,20,10,61,57.4,-4140,-68.0,-7.2
現貨開盤,5,10,20,15,61,57.4,-4140,-68.0,-7.2
現貨開盤,5,10,20,30,61,57.4,-4140,-68.0,-7.2
現貨開盤,5,10,20,60,61,57.4,-4140,-68.0,-7.2
現貨開盤,5,10,30,5,61,68.9,-3940,-65.0,-5.49
現貨開盤,5,10,30,10,61,68.9,-3940,-65.0,-5.49
現貨開盤,5,10,30,15,61,68.9,-3940,-65.0,-5.49
現貨開盤,5,10,30,30,61,68.9,-3940,-65.0,-5.49
現貨開盤,5,10,30,60,61,68.9,-3940,-65.0,-5.49
現貨開盤,5,10,40,5,61,83.6,-1340,-22.0,-1.87
現貨開盤,5,10,40,10,61,83.6,-1340,-22.0,-1.87
現貨開盤,5,10,40,15,61,83.6,-1340,-22.0,-1.87
現貨開盤,5,10,40,30,61,83.6,-1340,-22.0,-1.87
現貨開盤,5,10,40,60,61,83.6,-1340,-22.0,-1.87
現貨開盤,5,10,50,5,61,86.9,-1140,-19.0,-1.45
現貨開盤,5,10,50,10,61,86.9,-1140,-19.0,-1.45
現貨開盤,5,10,50,15,61,86.9,-1140,-19.0,-1.45
現貨開盤,5,10,50,30,61,86.9,-1140,-19.0,-1.45
現貨開盤,5,10,50,60,61,86.9,-1140,-19.0,-1.45
現貨開盤,5,20,5,5,61,0.0,-5490,-90.0,0.0
現貨開盤,5,20,5,10,61,0.0,-5490,-90.0,0.0
現貨開盤,5,20,5,15,61,0.0,-5490,-90.0,0.0
現貨開盤,5,20,5,30,61,0.0,-5490,-90.0,0.0
現貨開盤,5,20,5,60,61,0.0,-5490,-90.0,0.0
現貨開盤,5,20,10,5,61,31.1,-2840,-47.0,-5.28
現貨開盤,5,20,10,10,61,31.1,-2840,-47.0,-5.28
現貨開盤,5,20,10,15,61,31.1,-2840,-47.0,-5.28
現貨開盤,5,20,10,30,61,31.1,-2840,-47.0,-5.28
現貨開盤,5,20,10,60,61,31.1,-2840,-47.0,-5.28
現貨開盤,5,20,15,5,61,44.3,-2140,-35.0,-3.18
現貨開盤,5,20,15,10,61,44.3,-2140,-35.0,-3.18
現貨開盤,5,20,15,15,61,44.3,-2140,-35.0,-3.18
現貨開盤,5,20,15,30,61,44.3,-2140,-35.0,-3.18
現貨開盤,5,20,15,60,61,44.3,-2140,-35.0,-3.18
現貨開盤,5,20,20,5,61,49.2,-2640,-43.0,-3.41
現貨開盤,5,20,20,10,61,49.2,-2640,-43.0,-3.41
現貨開盤,5,20,20,15,61,49.2,-2640,-43.0,-3.41
現貨開盤,5,20,20,30,61,49.2,-2640,-43.0,-3.41
現貨開盤,5,20,20,60,61,49.2,-2640,-43.0,-3.41
現貨開盤,5,20,30,5,61,62.3,-1740,-29.0,-1.85
現貨開盤,5,20,30,10,61,62.3,-1740,-29.0,-1.85
現貨開盤,5,20,30,15,61,62.3,-1740,-29.0,-1.85
現貨開盤,5,20,30,30,61,62.3,-1740,-29.0,-1.85
現貨開盤,5,20,30,60,61,62.3,-1740,-29.0,-1.85
現貨開盤,5,20,40,5,61,73.8,160,3.0,0.16
現貨開盤,5,20,40,10,61,73.8,160,3.0,0.16
現貨開盤,5,20,40,15,61,73.8,160,3.0,0.16
現貨開盤,5,20,40,30,61,73.8,160,3.0,0.16
現貨開盤,5,20,40,60,61,73.8,160,3.0,0.16
現貨開盤,5,20,50,5,61,78.7,660,11.0,0.59
現貨開盤,5,20,50,10,61,78.7,660,11.0,0.59
現貨開盤,5,20,50,15,61,78.7,660,11.0,0.59
現貨開盤,5,20,50,30,61,78.7,660,11.0,0.59
現貨開盤,5,20,50,60,61,78.7,660,11.0,0.59
現貨開盤,5,30,5,5,61,0.0,-5490,-90.0,0.0
現貨開盤,5,30,5,10,61,0.0,-5490,-90.0,0.0
現貨開盤,5,30,5,15,61,0.0,-5490,-90.0,0.0
現貨開盤,5,30,5,30,61,0.0,-5490,-90.0,0.0
現貨開盤,5,30,5,60,61,0.0,-5490,-90.0,0.0
現貨開盤,5,30,10,5,61,24.6,-2540,-42.0,-3.81
現貨開盤,5,30,10,10,61,24.6,-2540,-42.0,-3.81
現貨開盤,5,30,10,15,61,24.6,-2540,-42.0,-3.81
現貨開盤,5,30,10,30,61,24.6,-2540,-42.0,-3.81
