trigger,target,stop,time_limit,trades,tp_rate,sl_rate,timeout_rate,win_rate,total_pnl,avg_pnl,loss_avg,sharpe,section
現貨開盤,5,0,1,33,78.8,0.0,21.2,78.8,-1430,-43.0,-24.1,-5.33,09:00_filter
現貨開盤,5,10,1,33,78.8,21.2,0.0,78.8,-720,-22.0,-14.0,-5.56,09:00_filter
現貨開盤,5,15,1,33,78.8,21.2,0.0,78.8,-1070,-32.0,-19.0,-6.2,09:00_filter
現貨開盤,5,20,1,33,78.8,21.2,0.0,78.8,-1420,-43.0,-24.0,-6.58,09:00_filter
現貨開盤,5,30,1,33,78.8,12.1,9.1,78.8,-1420,-43.0,-24.0,-5.67,09:00_filter
現貨開盤,5,0,2,33,87.9,0.0,12.1,87.9,-2290,-69.0,-64.5,-4.63,09:00_filter
現貨開盤,5,10,2,33,78.8,21.2,0.0,78.8,-720,-22.0,-14.0,-5.56,09:00_filter
現貨開盤,5,15,2,33,78.8,21.2,0.0,78.8,-1070,-32.0,-19.0,-6.2,09:00_filter
現貨開盤,5,20,2,33,78.8,21.2,0.0,78.8,-1420,-43.0,-24.0,-6.58,09:00_filter
現貨開盤,5,30,2,33,78.8,21.2,0.0,78.8,-2120,-64.0,-34.0,-7.02,09:00_filter
現貨開盤,5,0,3,33,90.9,0.0,9.1,90.9,-1950,-59.0,-75.0,-3.8,09:00_filter
現貨開盤,5,10,3,33,78.8,21.2,0.0,78.8,-720,-22.0,-14.0,-5.56,09:00_filter
現貨開盤,5,15,3,33,78.8,21.2,0.0,78.8,-1070,-32.0,-19.0,-6.2,09:00_filter
現貨開盤,5,20,3,33,78.8,21.2,0.0,78.8,-1420,-43.0,-24.0,-6.58,09:00_filter
現貨開盤,5,30,3,33,78.8,21.2,0.0,78.8,-2120,-64.0,-34.0,-7.02,09:00_filter
現貨開盤,5,0,5,33,97.0,0.0,3.0,97.0,-1370,-42.0,-169.0,-2.23,09:00_filter
現貨開盤,5,10,5,33,78.8,21.2,0.0,78.8,-720,-22.0,-14.0,-5.56,09:00_filter
現貨開盤,5,15,5,33,78.8,21.2,0.0,78.8,-1070,-32.0,-19.0,-6.2,09:00_filter
現貨開盤,5,20,5,33,78.8,21.2,0.0,78.8,-1420,-43.0,-24.0,-6.58,09:00_filter
現貨開盤,5,30,5,33,78.8,21.2,0.0,78.8,-2120,-64.0,-34.0,-7.02,09:00_filter
現貨開盤,5,0,10,33,97.0,0.0,3.0,97.0,-1880,-57.0,-220.0,-2.35,09:00_filter
現貨開盤,5,10,10,33,78.8,21.2,0.0,78.8,-720,-22.0,-14.0,-5.56,09:00_filter
現貨開盤,5,15,10,33,78.8,21.2,0.0,78.8,-1070,-32.0,-19.0,-6.2,09:00_filter
現貨開盤,5,20,10,33,78.8,21.2,0.0,78.8,-1420,-43.0,-24.0,-6.58,09:00_filter
現貨開盤,5,30,10,33,78.8,21.2,0.0,78.8,-2120,-64.0,-34.0,-7.02,09:00_filter
現貨開盤,5,0,15,33,97.0,0.0,3.0,97.0,-900,-27.0,-122.0,-2.02,09:00_filter
現貨開盤,5,10,15,33,78.8,21.2,0.0,78.8,-720,-22.0,-14.0,-5.56,09:00_filter
現貨開盤,5,15,15,33,78.8,21.2,0.0,78.8,-1070,-32.0,-19.0,-6.2,09:00_filter
現貨開盤,5,20,15,33,78.8,21.2,0.0,78.8,-1420,-43.0,-24.0,-6.58,09:00_filter
現貨開盤,5,30,15,33,78.8,21.2,0.0,78.8,-2120,-64.0,-34.0,-7.02,09:00_filter
現貨開盤,8,0,1,33,75.8,0.0,24.2,75.8,-1320,-40.0,-29.0,-3.64,09:00_filter
現貨開盤,8,10,1,33,75.8,24.2,0.0,75.8,-120,-4.0,-14.0,-0.74,09:00_filter
現貨開盤,8,15,1,33,75.8,24.2,0.0,75.8,-520,-16.0,-19.0,-2.5,09:00_filter
現貨開盤,8,20,1,33,75.8,24.2,0.0,75.8,-920,-28.0,-24.0,-3.63,09:00_filter
現貨開盤,8,30,1,33,75.8,15.2,9.1,75.8,-1020,-31.0,-25.2,-3.45,09:00_filter
現貨開盤,8,0,2,33,84.8,0.0,15.2,84.8,-1920,-58.0,-60.8,-3.59,09:00_filter
現貨開盤,8,10,2,33,75.8,24.2,0.0,75.8,-120,-4.0,-14.0,-0.74,09:00_filter
現貨開盤,8,15,2,33,75.8,24.2,0.0,75.8,-520,-16.0,-19.0,-2.5,09:00_filter
現貨開盤,8,20,2,33,75.8,24.2,0.0,75.8,-920,-28.0,-24.0,-3.63,09:00_filter
現貨開盤,8,30,2,33,75.8,24.2,0.0,75.8,-1720,-52.0,-34.0,-5.0,09:00_filter
現貨開盤,8,0,3,33,87.9,0.0,12.1,87.9,-1310,-40.0,-61.8,-2.46,09:00_filter
現貨開盤,8,10,3,33,75.8,24.2,0.0,75.8,-120,-4.0,-14.0,-0.74,09:00_filter
現貨開盤,8,15,3,33,75.8,24.2,0.0,75.8,-520,-16.0,-19.0,-2.5,09:00_filter
現貨開盤,8,20,3,33,75.8,24.2,0.0,75.8,-920,-28.0,-24.0,-3.63,09:00_filter
現貨開盤,8,30,3,33,75.8,24.2,0.0,75.8,-1720,-52.0,-34.0,-5.0,09:00_filter
現貨開盤,8,0,5,33,97.0,0.0,3.0,97.0,-410,-12.0,-169.0,-0.65,09:00_filter
現貨開盤,8,10,5,33,75.8,24.2,0.0,75.8,-120,-4.0,-14.0,-0.74,09:00_filter
現貨開盤,8,15,5,33,75.8,24.2,0.0,75.8,-520,-16.0,-19.0,-2.5,09:00_filter
現貨開盤,8,20,5,33,75.8,24.2,0.0,75.8,-920,-28.0,-24.0,-3.63,09:00_filter
現貨開盤,8,30,5,33,75.8,24.2,0.0,75.8,-1720,-52.0,-34.0,-5.0,09:00_filter
現貨開盤,8,0,10,33,97.0,0.0,3.0,97.0,-920,-28.0,-220.0,-1.13,09:00_filter
現貨開盤,8,10,10,33,75.8,24.2,0.0,75.8,-120,-4.0,-14.0,-0.74,09:00_filter
現貨開盤,8,15,10,33,75.8,24.2,0.0,75.8,-520,-16.0,-19.0,-2.5,09:00_filter
現貨開盤,8,20,10,33,75.8,24.2,0.0,75.8,-920,-28.0,-24.0,-3.63,09:00_filter
現貨開盤,8,30,10,33,75.8,24.2,0.0,75.8,-1720,-52.0,-34.0,-5.0,09:00_filter
現貨開盤,8,0,15,33,97.0,0.0,3.0,97.0,60,2.0,-122.0,0.13,09:00_filter
現貨開盤,8,10,15,33,75.8,24.2,0.0,75.8,-120,-4.0,-14.0,-0.74,09:00_filter
現貨開盤,8,15,15,33,75.8,24.2,0.0,75.8,-520,-16.0,-19.0,-2.5,09:00_filter
現貨開盤,8,20,15,33,75.8,24.2,0.0,75.8,-920,-28.0,-24.0,-3.63,09:00_filter
