datetime,ticker,action,quantity,contract,delivery_month,signal_price,fill_price,slippage_pts,slippage_twd,pos_before,target_pos,order_status,note
2026-05-19 23:15:13,MXF1!,BUY,1,TMFF6,202606,40144.0,40156.0,12.0,120.0,-1,0,Status.Filled,
2026-05-20 03:55:05,MXF1!,SELL,1,TMFF6,202606,40316.0,40300.0,16.0,160.0,0,-1,Status.Filled,
2026-05-20 08:50:04,MXF1!,SELL,1,TMFF6,202606,40180.0,40174.0,6.0,60.0,-1,-2,Status.Filled,
2026-05-20 08:50:16,MXF1!,BUY,1,TMFF6,202606,40133.0,40138.0,5.0,50.0,-2,-1,Status.Filled,
2026-05-20 09:11:51,MXF1!,BUY,1,TMFF6,202606,40391.0,40394.0,3.0,30.0,-1,0,Status.Filled,
2026-05-20 11:15:06,MXF1!,SELL,1,TMFF6,202606,40113.0,40116.0,-3.0,-30.0,0,-1,Status.Filled,
2026-05-20 22:07:00,MXF1!,BUY,1,TMFF6,202606,,,,,-1,0,ManualClose,手動平倉
2026-05-20 23:20:15,MXF1!,BUY,1,TMFF6,202606,41028.0,41036.0,8.0,80.0,0,1,Status.Filled,
2026-05-21 08:50:03,MXF1!,BUY,1,TMFF6,202606,41090.0,41095.0,5.0,50.0,0,1,Status.Filled,
2026-05-21 09:05:03,MXF1!,BUY,1,TMFF6,202606,41163.0,41174.0,11.0,110.0,1,2,Status.Filled,
2026-05-21 09:10:03,MXF1!,BUY,1,TMFF6,202606,41276.0,41283.0,7.0,70.0,2,3,Status.Filled,
