received_at,ticker,target_pos,signal_price,order_action,order_comment,order_contracts,order_id,tv_timestamp,decision,raw_payload
2026-06-23T23:30:15+08:00,MXF1!,-1,46277,sell,S_Cmd,1,Short_Cmd,2026-06-23T15:30:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": -1, ""signal_price"": 46277, ""order_id"": ""Short_Cmd"", ""order_action"": ""sell"", ""order_comment"": ""S_Cmd"", ""order_contracts"": 1, ""timestamp"": ""2026-06-23T15:30:00Z""}"
2026-06-23T23:55:04+08:00,MXF1!,0,46451,buy,S_Cmd_Fast,1,Close entry(s) order Short_Cmd,2026-06-23T15:55:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 0, ""signal_price"": 46451, ""order_id"": ""Close entry(s) order Short_Cmd"", ""order_action"": ""buy"", ""order_comment"": ""S_Cmd_Fast"", ""order_contracts"": 1, ""timestamp"": ""2026-06-23T15:55:00Z""}"
2026-06-24T10:50:04+08:00,MXF1!,-1,46141,sell,S_Cmd,1,Short_Cmd,2026-06-24T02:50:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": -1, ""signal_price"": 46141, ""order_id"": ""Short_Cmd"", ""order_action"": ""sell"", ""order_comment"": ""S_Cmd"", ""order_contracts"": 1, ""timestamp"": ""2026-06-24T02:50:00Z""}"
2026-06-24T12:40:03+08:00,MXF1!,0,46426,buy,S_Cmd_Fast,1,Close entry(s) order Short_Cmd,2026-06-24T04:40:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 0, ""signal_price"": 46426, ""order_id"": ""Close entry(s) order Short_Cmd"", ""order_action"": ""buy"", ""order_comment"": ""S_Cmd_Fast"", ""order_contracts"": 1, ""timestamp"": ""2026-06-24T04:40:00Z""}"
2026-06-24T13:20:03+08:00,MXF1!,1,46608,buy,L_Cmd,1,Long_Cmd,2026-06-24T05:20:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 1, ""signal_price"": 46608, ""order_id"": ""Long_Cmd"", ""order_action"": ""buy"", ""order_comment"": ""L_Cmd"", ""order_contracts"": 1, ""timestamp"": ""2026-06-24T05:20:00Z""}"
2026-06-24T13:30:01+08:00,MXF1!,0,46369,sell,Trend Rev,1,Close position order,2026-06-24T05:30:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 0, ""signal_price"": 46369, ""order_id"": ""Close position order"", ""order_action"": ""sell"", ""order_comment"": ""Trend Rev"", ""order_contracts"": 1, ""timestamp"": ""2026-06-24T05:30:00Z""}"
2026-06-25T00:40:09+08:00,MXF1!,-1,45675,sell,S_Cmd,1,Short_Cmd,2026-06-24T16:40:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": -1, ""signal_price"": 45675, ""order_id"": ""Short_Cmd"", ""order_action"": ""sell"", ""order_comment"": ""S_Cmd"", ""order_contracts"": 1, ""timestamp"": ""2026-06-24T16:40:00Z""}"
2026-06-25T01:20:31+08:00,MXF1!,0,45398,buy,S_Exit,1,S_Exit,2026-06-24T17:20:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 0, ""signal_price"": 45398, ""order_id"": ""S_Exit"", ""order_action"": ""buy"", ""order_comment"": ""S_Exit"", ""order_contracts"": 1, ""timestamp"": ""2026-06-24T17:20:00Z""}"
2026-06-26T03:15:14+08:00,MXF1!,-1,45555,sell,S_Cmd,1,Short_Cmd,2026-06-25T19:15:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": -1, ""signal_price"": 45555, ""order_id"": ""Short_Cmd"", ""order_action"": ""sell"", ""order_comment"": ""S_Cmd"", ""order_contracts"": 1, ""timestamp"": ""2026-06-25T19:15:00Z""}"
2026-06-26T04:00:30+08:00,MXF1!,0,45730,buy,S_Cmd_Fast,1,Close entry(s) order Short_Cmd,2026-06-25T20:00:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 0, ""signal_price"": 45730, ""order_id"": ""Close entry(s) order Short_Cmd"", ""order_action"": ""buy"", ""order_comment"": ""S_Cmd_Fast"", ""order_contracts"": 1, ""timestamp"": ""2026-06-25T20:00:00Z""}"
